Date,Open,High,Low,Close,Adj Close,Volume
2022-01-31,167.059998,175.949997,165.800003,175.759995,175.029846,11273500
2022-02-01,176.440002,177.429993,173.110001,177.130005,176.394165,9724600
2022-02-02,180.940002,188.639999,180.259995,188.199997,187.418182,25646300
2022-02-03,180.800003,192.100006,177.289993,179.100006,178.355988,36120200
2022-02-04,178.990005,182.410004,176.809998,179.470001,178.724442,15708400
2022-02-07,179.669998,180.649994,174.440002,175.089996,174.362640,10376300
2022-02-08,174.309998,179.289993,173.979996,178.589996,177.848099,10163900
2022-02-09,181.399994,184.000000,178.949997,183.949997,183.185837,9666900
2022-02-10,179.399994,181.990005,173.449997,174.070007,173.346878,14362200
2022-02-11,174.699997,175.479996,163.550003,164.639999,163.956055,13572000
2022-02-14,165.350006,167.850006,162.479996,165.130005,164.444016,8381700
2022-02-15,169.000000,173.960007,168.250000,173.000000,172.281326,11100000
2022-02-16,170.679993,173.210007,168.259995,172.600006,171.882996,8340600
2022-02-17,169.880005,170.770004,166.699997,166.800003,166.107086,8878900
2022-02-18,167.470001,170.449997,164.240005,167.639999,166.943588,9591700
2022-02-22,164.059998,169.960007,163.600006,165.889999,165.200851,9835500
2022-02-23,166.649994,169.160004,161.320007,161.619995,160.948593,9749000
2022-02-24,156.889999,168.360001,155.789993,167.979996,167.282166,12567000
2022-02-25,167.610001,171.089996,165.600006,170.929993,170.219910,7350200
2022-02-28,168.300003,172.990005,168.199997,171.990005,171.275528,10638900
2022-03-01,170.960007,171.839996,161.720001,163.690002,163.009995,10723300
2022-03-02,165.250000,170.490005,164.350006,169.250000,169.250000,7299400
2022-03-03,170.669998,170.830002,164.500000,165.350006,165.350006,8553900
2022-03-04,163.850006,166.070007,159.889999,162.259995,162.259995,9057300
2022-03-07,162.320007,163.160004,150.000000,150.100006,150.100006,13416100
2022-03-08,150.660004,158.339996,147.880005,150.759995,150.759995,11878400
2022-03-09,156.009995,158.479996,154.169998,157.110001,157.110001,9276800
2022-03-10,154.039993,155.300003,150.330002,154.710007,154.710007,8888800
2022-03-11,157.949997,158.320007,152.020004,152.339996,152.339996,7394400
2022-03-14,150.800003,151.289993,140.470001,141.289993,141.289993,16154200
2022-03-15,142.500000,144.429993,139.050003,144.210007,144.210007,13893000
2022-03-16,146.970001,151.559998,143.570007,150.449997,150.449997,11727700
2022-03-17,149.190002,152.940002,146.580002,152.830002,152.830002,8602900
2022-03-18,152.520004,156.029999,149.009995,153.990005,153.990005,18454200
2022-03-21,153.990005,157.710007,152.809998,155.589996,155.589996,8986400
2022-03-22,155.449997,159.940002,154.770004,157.610001,157.610001,7220500
2022-03-23,156.110001,157.210007,152.580002,152.869995,152.869995,7245600
2022-03-24,154.300003,158.559998,153.589996,158.460007,158.460007,9261000
2022-03-25,157.970001,158.460007,155.179993,157.970001,157.970001,7198700
2022-03-28,156.500000,158.500000,154.050003,158.449997,158.449997,9470800
2022-03-29,161.210007,161.300003,156.649994,161.070007,161.070007,10212400
2022-03-30,159.389999,160.270004,151.789993,152.729996,152.729996,14777800
2022-03-31,152.889999,155.139999,151.029999,152.820007,152.820007,13364200
2022-04-01,151.940002,152.869995,142.559998,146.990005,146.990005,19751300
2022-04-04,147.740005,154.130005,146.660004,153.809998,153.809998,12116000
2022-04-05,151.809998,152.009995,145.270004,145.460007,145.460007,15946100
2022-04-06,142.899994,143.000000,137.460007,139.279999,139.279999,21054200
2022-04-07,139.789993,141.490005,136.919998,139.220001,139.220001,10201200
2022-04-08,138.539993,139.960007,136.360001,136.690002,136.690002,12986500
2022-04-11,134.289993,137.610001,133.690002,135.360001,135.360001,11210400
2022-04-12,137.919998,140.160004,135.500000,136.089996,136.089996,10591300
2022-04-13,137.539993,142.589996,136.479996,140.500000,140.500000,10440800
2022-04-14,141.050003,141.559998,136.679993,136.910004,136.910004,7992200
2022-04-18,135.619995,140.350006,135.559998,139.320007,139.320007,8785700
2022-04-19,138.830002,141.399994,137.539993,141.050003,141.050003,7213800
2022-04-20,143.210007,144.809998,140.059998,140.339996,140.339996,7731600
2022-04-21,142.339996,143.639999,135.259995,136.110001,136.110001,8576500
2022-04-22,136.130005,137.330002,132.649994,132.809998,132.809998,8310200
2022-04-25,131.320007,136.809998,130.910004,136.559998,136.559998,9673200
2022-04-26,135.020004,136.350006,132.630005,133.500000,133.500000,9262800
2022-04-27,130.820007,138.110001,130.660004,135.100006,135.100006,13855900
2022-04-28,142.869995,151.199997,139.130005,148.190002,148.190002,31111100
2022-04-29,145.809998,147.500000,139.520004,139.690002,139.690002,13677500
